Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Activity,Location,Reporting Type,Units,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.3,6.3.1,EN_WWT_GEN,Total wastewater generated (million m3/year),51,Armenia,ISIC4_D,ALLAREA,G,M_M3_PER_YR,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.3,6.3.1,EN_WWT_GEN,Total wastewater generated (million m3/year),51,Armenia,ISIC4_F,ALLAREA,G,M_M3_PER_YR,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.3,6.3.1,EN_WWT_GEN,Total wastewater generated (million m3/year),51,Armenia,PRIV_HH,ALLAREA,G,M_M3_PER_YR,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.3,6.3.1,EN_WWT_GEN,Total wastewater generated (million m3/year),51,Armenia,SERV_HH,ALLAREA,G,M_M3_PER_YR,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.3,6.3.1,EN_WWT_GEN,Total wastewater generated (million m3/year),51,Armenia,SERVICES,ALLAREA,G,M_M3_PER_YR,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.3,6.3.1,EN_WWT_GEN,Total wastewater generated (million m3/year),51,Armenia,TOTAL,ALLAREA,G,M_M3_PER_YR,810.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.3,6.3.1,EN_WWT_GEN,Total wastewater generated (million m3/year),51,Armenia,TOTAL,URBAN,G,M_M3_PER_YR,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.3,6.3.1,EN_WWT_GEN,Total wastewater generated (million m3/year),31,Azerbaijan,INDUSTRIES,ALLAREA,G,M_M3_PER_YR,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.3,6.3.1,EN_WWT_GEN,Total wastewater generated (million m3/year),31,Azerbaijan,ISIC4_A,ALLAREA,G,M_M3_PER_YR,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.3,6.3.1,EN_WWT_GEN,Total wastewater generated (million m3/year),31,Azerbaijan,ISIC4_B,ALLAREA,G,M_M3_PER_YR,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.3,6.3.1,EN_WWT_GEN,Total wastewater generated (million m3/year),31,Azerbaijan,ISIC4_C,ALLAREA,G,M_M3_PER_YR,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.3,6.3.1,EN_WWT_GEN,Total wastewater generated (million m3/year),31,Azerbaijan,ISIC4_D,ALLAREA,G,M_M3_PER_YR,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.3,6.3.1,EN_WWT_GEN,Total wastewater generated (million m3/year),31,Azerbaijan,ISIC4_F,ALLAREA,G,M_M3_PER_YR,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.3,6.3.1,EN_WWT_GEN,Total wastewater generated (million m3/year),31,Azerbaijan,PRIV_HH,ALLAREA,G,M_M3_PER_YR,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.3,6.3.1,EN_WWT_GEN,Total wastewater generated (million m3/year),31,Azerbaijan,SERV_HH,ALLAREA,G,M_M3_PER_YR,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
